   0.00000000       3193.5759108601610     
   15.0000000       3450.1339944375045     
   30.0000000       3676.1728602588719     
   45.0000000       3833.2207133963984     
   60.0000000       3899.2894216850227     
   75.0000000       3870.5665877811616     
   90.0000000       3745.9213911342167     
   105.000000       3536.4480282095019     
   120.000000       3279.5305592499299     
   135.000000       3012.4058598514339     
   150.000000       2751.8265366540422     
   165.000000       2509.6511297959364     
   180.000000       2301.5322341204687     
   195.000000       2125.2950234285122     
   210.000000       1989.0552472151251     
   225.000000       1898.2883888660499     
   240.000000       1854.9135864703678     
   255.000000       1859.3286081295057     
   270.000000       1916.0624841274723     
   285.000000       2027.2706241001085     
   300.000000       2188.8401343756968     
   315.000000       2398.3343898711996     
   330.000000       2656.8511976513228     
   345.000000       2943.6751204290990     
   360.000000       3193.5759108601610     
